id,search,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,advertised_asin_units,advertised_asin_sales,advertised_brand_units,advertised_brand_sales
16689,12621,11/29/19,5,2,0.4,1.94,3.87,NULL,0,0,0,0,0,0,0,0,0
16690,12624,11/26/19,79,1,0.012658,0.97,0.97,0.0639,0.1565,15.18,1,2,1,2,15.18,0,0
16691,12624,11/27/19,50,1,0.02,1.27,1.27,NULL,0,0,0,0,0,0,0,0,0
16692,12624,11/30/19,356,3,0.008427,2.5,7.5,0.988142,0.0101,7.59,1,1,0.333333,1,7.59,0,0
16693,16694,11/26/19,73,1,0.013699,1.31,1.31,NULL,0,0,0,0,0,0,0,0,0
16694,11677,11/24/19,13,1,0.076923,2.35,2.35,NULL,0,0,0,0,0,0,0,0,0
16695,16696,11/24/19,2,2,1,3.02,6.03,NULL,0,0,0,0,0,0,0,0,0
16696,12639,11/25/19,24,1,0.041667,1.95,1.95,NULL,0,0,0,0,0,0,0,0,0
16697,11678,11/24/19,2,1,0.5,2.6,2.6,0.273973,0.0365,9.49,1,1,1,1,9.49,0,0
16698,11678,11/30/19,3,1,0.333333,1.56,1.56,0.051383,0.1946,30.36,1,4,1,4,30.36,0,0
16699,12643,11/24/19,78,1,0.012821,0.52,0.52,0.054795,0.1825,9.49,1,1,1,1,9.49,0,0
16700,12643,11/25/19,40,1,0.025,0.46,0.46,0.060606,0.165,7.59,1,1,1,1,7.59,0,0
16701,12643,11/26/19,57,1,0.017544,1.93,1.93,NULL,0,0,0,0,0,0,0,0,0
16702,12643,11/27/19,26,2,0.076923,1.06,2.11,0.069499,0.1439,30.36,1,4,0.5,4,30.36,0,0
16703,12643,11/28/19,7,2,0.285714,0.52,1.04,0.068511,0.146,15.18,2,2,1,2,15.18,0,0
16704,12643,11/29/19,3,2,0.666667,0.5,0.99,0.130435,0.0767,7.59,1,1,0.5,1,7.59,0,0
16705,12643,11/30/19,2,1,0.5,0.47,0.47,NULL,0,0,0,0,0,0,0,0,0
16706,16707,11/25/19,2,1,0.5,1.03,1.03,0.135705,0.0737,7.59,1,1,1,1,7.59,0,0
16707,12646,11/24/19,39,1,0.025641,0.94,0.94,0.099052,0.101,9.49,1,1,1,1,9.49,0,0
16708,12646,11/25/19,6,1,0.166667,1.97,1.97,NULL,0,0,0,0,0,0,0,0,0
16709,13648,11/24/19,134,1,0.007463,3.1,3.1,0.177346,0.0564,17.48,2,2,2,1,9.49,1,7.99
16710,16711,11/24/19,1,1,1,0.64,0.64,NULL,0,0,0,0,0,0,0,0,0
16711,11684,11/24/19,73,1,0.013699,2.5,2.5,NULL,0,0,0,0,0,0,0,0,0
16712,13651,11/27/19,4,1,0.25,1.72,1.72,NULL,0,0,0,0,0,0,0,0,0
16713,16714,11/25/19,12,1,0.083333,1.58,1.58,NULL,0,0,0,0,0,0,0,0,0
16714,13652,11/29/19,42,1,0.02381,2.74,2.74,0.180501,0.0554,15.18,1,2,1,2,15.18,0,0
16715,13652,11/30/19,12,1,0.083333,2.12,2.12,NULL,0,0,0,0,0,0,0,0,0
16716,11686,11/24/19,21,1,0.047619,0.75,0.75,NULL,0,0,0,0,0,0,0,0,0
16717,11687,11/24/19,5,1,0.2,2.23,2.23,NULL,0,0,0,0,0,0,0,0,0
16718,11687,11/26/19,1,1,1,2.19,2.19,0.288538,0.0347,7.59,1,1,1,1,7.59,0,0
16719,11687,11/27/19,3,1,0.333333,2.19,2.19,NULL,0,0,0,0,0,0,0,0,0
16720,11687,11/29/19,2,1,0.5,2.21,2.21,0.145586,0.0687,15.18,1,2,1,2,15.18,0,0
16721,11687,11/30/19,3,1,0.333333,0.64,0.64,0.084321,0.1186,7.59,1,1,1,1,7.59,0,0
16722,11689,11/29/19,22,2,0.090909,0.2,0.4,0.012694,0.7878,31.51,2,2,1,1,7.59,1,23.92
16723,11689,11/30/19,3,1,0.333333,0.2,0.2,0.013175,0.759,15.18,1,2,1,2,15.18,0,0
16724,16725,11/29/19,8,1,0.125,0.93,0.93,NULL,0,0,0,0,0,0,0,0,0
16725,16726,11/30/19,2,1,0.5,0.78,0.78,NULL,0,0,0,0,0,0,0,0,0
16726,16727,11/29/19,4,1,0.25,0.94,0.94,NULL,0,0,0,0,0,0,0,0,0
16727,16728,11/29/19,15,2,0.133333,1.03,2.06,NULL,0,0,0,0,0,0,0,0,0
16728,16729,11/29/19,1,1,1,0.73,0.73,NULL,0,0,0,0,0,0,0,0,0
16729,16730,11/25/19,1,1,1,1.19,1.19,NULL,0,0,0,0,0,0,0,0,0
16730,16731,11/24/19,7,1,0.142857,1.21,1.21,NULL,0,0,0,0,0,0,0,0,0
16731,16732,11/24/19,1,1,1,1.61,1.61,NULL,0,0,0,0,0,0,0,0,0
16732,16733,11/25/19,2,1,0.5,0.29,0.29,NULL,0,0,0,0,0,0,0,0,0
16733,14828,11/30/19,4,1,0.25,1.17,1.17,NULL,0,0,0,0,0,0,0,0,0
16734,16735,11/24/19,2,1,0.5,1.07,1.07,NULL,0,0,0,0,0,0,0,0,0
16735,16736,11/29/19,6,1,0.166667,1.16,1.16,NULL,0,0,0,0,0,0,0,0,0
16736,16737,11/30/19,2,1,0.5,1.18,1.18,NULL,0,0,0,0,0,0,0,0,0
16737,16738,11/24/19,1,1,1,0.51,0.51,NULL,0,0,0,0,0,0,0,0,0
16738,16739,11/24/19,1,1,1,1.33,1.33,NULL,0,0,0,0,0,0,0,0,0
16739,16740,11/27/19,2,1,0.5,0.87,0.87,NULL,0,0,0,0,0,0,0,0,0
16740,16741,11/29/19,4,1,0.25,1,1,NULL,0,0,0,0,0,0,0,0,0
16741,12689,11/29/19,216,2,0.009259,1.76,3.52,NULL,0,0,0,0,0,0,0,0,0
16742,11759,11/26/19,8,1,0.125,1.15,1.15,NULL,0,0,0,0,0,0,0,0,0
16743,16744,11/29/19,1,1,1,0.87,0.87,NULL,0,0,0,0,0,0,0,0,0
16744,16745,11/25/19,3,1,0.333333,1.21,1.21,NULL,0,0,0,0,0,0,0,0,0
16745,16746,11/24/19,1,1,1,0.61,0.61,NULL,0,0,0,0,0,0,0,0,0
16746,16747,11/28/19,1,1,1,0.83,0.83,NULL,0,0,0,0,0,0,0,0,0
16747,16748,11/26/19,1,1,1,1.25,1.25,NULL,0,0,0,0,0,0,0,0,0
16748,16749,11/24/19,2,1,0.5,0.81,0.81,NULL,0,0,0,0,0,0,0,0,0
16749,16750,11/25/19,1,1,1,0.88,0.88,NULL,0,0,0,0,0,0,0,0,0
16750,16751,11/26/19,2,2,1,0.84,1.68,NULL,0,0,0,0,0,0,0,0,0
16751,16752,11/25/19,1,1,1,1.2,1.2,NULL,0,0,0,0,0,0,0,0,0
16752,16753,11/24/19,2,1,0.5,0.3,0.3,NULL,0,0,0,0,0,0,0,0,0
16753,11787,11/26/19,186,1,0.005376,1.19,1.19,NULL,0,0,0,0,0,0,0,0,0
16754,11787,11/27/19,101,1,0.009901,1.21,1.21,NULL,0,0,0,0,0,0,0,0,0
16755,11787,11/28/19,61,1,0.016393,1.24,1.24,NULL,0,0,0,0,0,0,0,0,0
16756,16757,11/24/19,1,1,1,0.85,0.85,NULL,0,0,0,0,0,0,0,0,0
16757,13695,11/25/19,5,1,0.2,0.61,0.61,NULL,0,0,0,0,0,0,0,0,0
16758,16759,11/26/19,2,1,0.5,1.86,1.86,0.555224,0.018,3.35,1,1,1,1,3.35,0,0
16759,16760,11/24/19,2,1,0.5,1.95,1.95,NULL,0,0,0,0,0,0,0,0,0
16760,13699,11/24/19,95,1,0.010526,1.32,1.32,NULL,0,0,0,0,0,0,0,0,0
16761,11794,11/24/19,163,1,0.006135,1.14,1.14,NULL,0,0,0,0,0,0,0,0,0
16762,16763,11/24/19,17,1,0.058824,0.44,0.44,0.030577,0.327,14.39,1,1,1,1,14.39,0,0
16763,16764,11/27/19,1,1,1,1.23,1.23,NULL,0,0,0,0,0,0,0,0,0
16764,16765,11/24/19,4,1,0.25,0.82,0.82,NULL,0,0,0,0,0,0,0,0,0
16765,11798,11/24/19,2,1,0.5,0.45,0.45,0.134328,0.0744,3.35,1,1,1,1,3.35,0,0
16766,16767,11/29/19,1,1,1,0.22,0.22,NULL,0,0,0,0,0,0,0,0,0
16767,16768,11/30/19,1,1,1,0.63,0.63,NULL,0,0,0,0,0,0,0,0,0
16768,16769,11/28/19,4,1,0.25,1.56,1.56,NULL,0,0,0,0,0,0,0,0,0
16769,11802,11/24/19,37,1,0.027027,1.1,1.1,0.328358,0.0305,3.35,1,1,1,1,3.35,0,0
16770,11802,11/26/19,61,1,0.016393,1.38,1.38,NULL,0,0,0,0,0,0,0,0,0
16771,11802,11/27/19,63,2,0.031746,1.24,2.48,0.172342,0.058,14.39,1,1,0.5,1,14.39,0,0
16772,11802,11/29/19,64,1,0.015625,1.03,1.03,0.030012,0.3332,34.32,1,2,1,2,34.32,0,0
16773,13712,11/24/19,1,1,1,1.08,1.08,0.075052,0.1332,14.39,1,1,1,1,14.39,0,0
16774,11809,11/24/19,3,1,0.333333,0.45,0.45,NULL,0,0,0,0,0,0,0,0,0
16775,11809,11/25/19,11,2,0.181818,0.49,0.97,NULL,0,0,0,0,0,0,0,0,0
16776,11809,11/26/19,2,1,0.5,0.45,0.45,NULL,0,0,0,0,0,0,0,0,0
16777,11809,11/27/19,15,1,0.066667,0.57,0.57,0.018067,0.5535,31.55,2,2,2,2,31.55,0,0
16778,12729,11/30/19,8,1,0.125,1.8,1.8,NULL,0,0,0,0,0,0,0,0,0
16779,11816,11/24/19,23,2,0.086957,0.88,1.75,0.08956,0.1117,19.54,3,4,1.5,3,10.05,1,9.49
16780,11816,11/25/19,38,2,0.052632,0.37,0.74,NULL,0,0,0,0,0,0,0,0,0
16781,11816,11/26/19,31,1,0.032258,0.39,0.39,0.116418,0.0859,3.35,1,1,1,1,3.35,0,0
16782,11816,11/27/19,20,1,0.05,0.91,0.91,0.135821,0.0736,6.7,1,2,1,2,6.7,0,0
16783,11816,11/28/19,26,1,0.038462,0.91,0.91,0.031619,0.3163,28.78,1,2,1,2,28.78,0,0
16784,11816,11/29/19,53,1,0.018868,0.46,0.46,0.137313,0.0728,3.35,1,1,1,1,3.35,0,0
16785,11816,11/30/19,39,1,0.025641,0.36,0.36,NULL,0,0,0,0,0,0,0,0,0
16786,13722,11/29/19,16,2,0.125,1.09,2.18,0.055754,0.1794,39.1,2,3,1,1,23.92,2,15.18
16787,16788,11/28/19,1,1,1,1.76,1.76,NULL,0,0,0,0,0,0,0,0,0
16788,16789,11/26/19,2,1,0.5,2.1,2.1,NULL,0,0,0,0,0,0,0,0,0
16789,16790,11/25/19,4,1,0.25,1.62,1.62,NULL,0,0,0,0,0,0,0,0,0
16790,16791,11/28/19,1,1,1,0.35,0.35,NULL,0,0,0,0,0,0,0,0,0
16791,16792,11/27/19,42,1,0.02381,0.86,0.86,NULL,0,0,0,0,0,0,0,0,0
16792,16793,11/28/19,1020,1,0.00098,2.19,2.19,0.144269,0.0693,15.18,1,2,1,0,0,2,15.18
16793,11823,11/24/19,1481,2,0.00135,4.88,9.75,NULL,0,0,0,0,0,0,0,0,0
16794,11823,11/25/19,807,1,0.001239,1.91,1.91,NULL,0,0,0,0,0,0,0,0,0
16795,11823,11/26/19,747,3,0.004016,8.38,25.15,NULL,0,0,0,0,0,0,0,0,0
16796,11823,11/28/19,716,2,0.002793,2.57,5.13,NULL,0,0,0,0,0,0,0,0,0
16797,16798,11/27/19,110,2,0.018182,1.19,2.38,0.099498,0.1005,23.92,1,1,0.5,1,23.92,0,0
16798,15932,11/24/19,19,1,0.052632,0.8,0.8,NULL,0,0,0,0,0,0,0,0,0
16799,16800,11/24/19,5,1,0.2,1.05,1.05,NULL,0,0,0,0,0,0,0,0,0
16800,14905,11/26/19,122,1,0.008197,0.79,0.79,NULL,0,0,0,0,0,0,0,0,0
16801,16802,11/26/19,9,1,0.111111,1.02,1.02,NULL,0,0,0,0,0,0,0,0,0
16802,12742,11/27/19,47,1,0.021277,2.38,2.38,0.123061,0.0813,19.34,1,1,1,1,19.34,0,0
16803,12744,11/27/19,3,1,0.333333,0.98,0.98,NULL,0,0,0,0,0,0,0,0,0
16804,11824,11/27/19,727,1,0.001376,1.51,1.51,NULL,0,0,0,0,0,0,0,0,0
16805,13738,11/27/19,154,1,0.006494,2.12,2.12,NULL,0,0,0,0,0,0,0,0,0
16806,13738,11/29/19,73,1,0.013699,2.32,2.32,NULL,0,0,0,0,0,0,0,0,0
16807,12746,11/24/19,2,1,0.5,0.2,0.2,0.006072,1.647,32.94,1,1,1,1,32.94,0,0
16808,12746,11/25/19,30,1,0.033333,0.97,0.97,NULL,0,0,0,0,0,0,0,0,0
16809,12746,11/27/19,4,1,0.25,0.2,0.2,NULL,0,0,0,0,0,0,0,0,0
16810,12748,11/25/19,2,1,0.5,0.48,0.48,NULL,0,0,0,0,0,0,0,0,0
16811,12748,11/26/19,5,1,0.2,0.38,0.38,NULL,0,0,0,0,0,0,0,0,0
16812,11830,11/28/19,3,1,0.333333,0.92,0.92,NULL,0,0,0,0,0,0,0,0,0
16813,16814,11/26/19,1,1,1,1,1,NULL,0,0,0,0,0,0,0,0,0
16814,15940,11/26/19,1,1,1,2.2,2.2,NULL,0,0,0,0,0,0,0,0,0
16815,11833,11/29/19,63,1,0.015873,2.31,2.31,NULL,0,0,0,0,0,0,0,0,0
16816,16817,11/24/19,63,1,0.015873,2.15,2.15,NULL,0,0,0,0,0,0,0,0,0
16817,12763,11/24/19,6,1,0.166667,0.41,0.41,NULL,0,0,0,0,0,0,0,0,0
16818,16819,11/27/19,15,1,0.066667,1.01,1.01,NULL,0,0,0,0,0,0,0,0,0
16819,11858,11/30/19,9,1,0.111111,1.39,1.39,NULL,0,0,0,0,0,0,0,0,0
16820,16821,11/28/19,11,1,0.090909,2.31,2.31,NULL,0,0,0,0,0,0,0,0,0
16821,16821,11/29/19,133,1,0.007519,2.31,2.31,0.160528,0.0623,14.39,1,1,1,1,14.39,0,0
16822,16821,11/30/19,87,1,0.011494,2.31,2.31,NULL,0,0,0,0,0,0,0,0,0
16823,11864,11/24/19,52,7,0.134615,0.97,6.82,0.105802,0.0945,64.46,3,3,0.428571,2,31.52,1,32.94
16824,11864,11/25/19,50,3,0.06,1.32,3.96,0.275191,0.0363,14.39,1,1,0.333333,1,14.39,0,0
16825,11864,11/26/19,64,3,0.046875,0.97,2.92,0.202919,0.0493,14.39,1,1,0.333333,1,14.39,0,0
16826,11864,11/27/19,55,4,0.072727,0.89,3.54,0.046512,0.215,76.11,4,5,1,4,43.17,1,32.94
16827,11864,11/28/19,18,3,0.166667,0.73,2.2,0.152884,0.0654,14.39,1,1,0.333333,1,14.39,0,0
16828,11864,11/29/19,40,3,0.075,0.84,2.53,0.041537,0.2408,60.91,2,5,0.666667,5,60.91,0,0
