id,target,placement,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_percentage,NtB_units,NtB_units_percentage,NtB_order_rate
52,17906,5759,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
54,17910,5733,7/28/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
55,17910,5733,8/1/19,7,2,0.285714,1.12,2.23,0.115604,0.0865,19.29,1,1,0.5,2,0,0,0,0,0,0,0
56,17910,5733,8/2/19,3,1,0.333333,0.88,0.88,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
57,17910,5733,8/3/19,5,1,0.2,0.88,0.88,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
58,17914,5733,7/30/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
59,17914,5733,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
60,17914,5733,8/1/19,6,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
61,17914,5733,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
62,17914,5733,8/3/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
63,17919,5740,7/28/19,11,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
64,17919,5740,8/1/19,9,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
65,17919,5740,8/2/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
66,17919,5740,8/3/19,7,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
67,17923,5740,7/28/19,22,2,0.090909,0.82,1.64,NULL,0,0,0,0,0,16,0,NULL,0,NULL,0,NULL,0
68,17923,5740,7/29/19,4,0,0,NULL,0,0,NULL,134.86,5,7,NULL,0,5,1,134.86,1,7,1,NULL
69,17923,5740,8/1/19,32,1,0.03125,0.82,0.82,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
70,17923,5740,8/2/19,12,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
71,17923,5740,8/3/19,16,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
72,17928,5759,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
73,17928,5759,8/1/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
74,17928,5759,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
75,17931,5759,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
76,17931,5759,7/29/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
77,17931,5759,8/1/19,4,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
78,17931,5759,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
80,17936,5740,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
81,17937,5733,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
82,17938,5733,8/1/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
83,17938,5733,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
84,17938,5733,8/3/19,4,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
85,17941,5740,8/2/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
86,17942,5733,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
87,17943,5733,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
88,17944,5740,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
89,17944,5740,7/29/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
90,17946,5733,7/28/19,8,1,0.125,0.3,0.3,NULL,0,0,0,0,0,4,0,NULL,0,NULL,0,NULL,0
91,17946,5733,7/29/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
92,17946,5733,7/30/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,5,0,NULL,0,NULL,0,NULL,NULL
93,17946,5733,7/31/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
94,17946,5733,8/1/19,20,4,0.2,0.3,1.2,0.126449,0.0791,9.49,1,1,0.25,2,1,1,9.49,1,1,1,0.25
95,17946,5733,8/2/19,14,1,0.071429,0.3,0.3,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
96,17946,5733,8/3/19,14,1,0.071429,0.18,0.18,0.007206,1.3878,24.98,1,1,1,4,0,0,0,0,0,0,0
103,17959,5733,7/28/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
104,17959,5733,8/1/19,4,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
105,17959,5733,8/2/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
106,17959,5733,8/3/19,6,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
108,17959,5733,7/29/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
109,17959,5733,7/30/19,0,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
113,17969,5740,7/28/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
114,17970,5740,8/1/19,0,0,0,NULL,0,0,NULL,9.21,1,1,NULL,1,0,0,0,0,0,0,NULL
115,17971,5759,8/2/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
116,17972,5759,7/29/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
117,17972,5759,8/2/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
