id,campaign,date,impressions,impressions_previous_year,clics,click_previous_year,CtR,CpC,CpC_previous_year,spend,spend_previous_year,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_persntage,NtB_units,NtB_units_percentage,NtB_order_rate
1189,1248,10/19/19,8125,NULL,21,NULL,0.0026,1.78,NULL,37.3,NULL,0.7402,0,50.39,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1190,1231,10/19/19,11096,NULL,37,NULL,0.0033,1.23,NULL,45.36,NULL,0.5715,0,79.37,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1191,1234,10/19/19,816,NULL,2,NULL,0.0025,0.83,NULL,1.66,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1192,1235,10/19/19,271,NULL,6,NULL,0.0221,1.11,NULL,6.68,NULL,1.7625,0,3.79,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1193,1231,10/20/19,13687,NULL,37,NULL,0.0027,1.28,NULL,47.18,NULL,0.6347,0,74.34,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1194,1229,10/20/19,48,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1195,1252,10/20/19,253,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1196,1237,10/20/19,658,NULL,4,NULL,0.0061,0.93,NULL,3.73,NULL,0.0261,0,143.12,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1197,1236,10/20/19,2796,NULL,4,NULL,0.0014,1.21,NULL,4.85,NULL,0.607,0,7.99,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1198,1233,10/20/19,1402,NULL,5,NULL,0.0036,1.12,NULL,5.59,NULL,0.7918,0,7.06,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1199,1239,10/20/19,802,NULL,8,NULL,0.01,0.53,NULL,4.23,NULL,0.2484,0,17.03,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1200,1226,10/20/19,609,NULL,1,NULL,0.0016,1.37,NULL,1.37,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1201,1243,10/20/19,110,NULL,1,NULL,0.0091,0.99,NULL,0.99,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1202,1250,10/20/19,2549,NULL,2,NULL,0.0008,0.49,NULL,0.98,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1203,1244,10/20/19,5627,NULL,14,NULL,0.0025,1.07,NULL,15.03,NULL,2.1289,0,7.06,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1204,1238,10/20/19,10322,NULL,27,NULL,0.0026,1.78,NULL,48.16,NULL,0.4614,0,104.39,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1205,1248,10/20/19,8711,NULL,28,NULL,0.0032,1.6,NULL,44.71,NULL,1.3615,0,32.84,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1206,1249,10/20/19,629,NULL,2,NULL,0.0032,1.25,NULL,2.5,NULL,0.061,0,40.97,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1207,1235,10/20/19,293,NULL,3,NULL,0.0102,1.88,NULL,5.65,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1208,1223,10/20/19,1003,NULL,2,NULL,0.002,0.5,NULL,1,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1209,1234,10/20/19,1878,NULL,1,NULL,0.0005,0.4,NULL,0.4,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1210,1230,10/20/19,20,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1211,1240,10/20/19,20632,NULL,64,NULL,0.0031,1.11,NULL,71.01,NULL,0.6321,0,112.34,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1212,1241,10/20/19,1497,NULL,1,NULL,0.0007,1.24,NULL,1.24,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1213,1251,10/20/19,92,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1214,1246,10/21/19,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1215,1243,10/21/19,116,NULL,1,NULL,0.0086,0.28,NULL,0.28,NULL,0.0071,0,39.6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1216,1231,10/21/19,16194,NULL,38,NULL,0.0024,1.4,NULL,53.29,NULL,0.9023,0,59.06,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1217,1241,10/21/19,1771,NULL,2,NULL,0.0011,1.31,NULL,2.62,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1218,1248,10/21/19,9342,NULL,13,NULL,0.0014,1.46,NULL,18.98,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1219,1236,10/21/19,3742,NULL,6,NULL,0.0016,1.23,NULL,7.38,NULL,0.9237,0,7.99,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1220,1223,10/21/19,920,NULL,2,NULL,0.0022,0.4,NULL,0.8,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1221,1233,10/21/19,1596,NULL,4,NULL,0.0025,1.32,NULL,5.28,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1222,1244,10/21/19,6770,NULL,14,NULL,0.0021,1.25,NULL,17.45,NULL,0.5706,0,30.58,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1223,1229,10/21/19,76,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1224,1240,10/21/19,22485,NULL,71,NULL,0.0032,1.18,NULL,83.97,NULL,0.44,0,190.83,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1225,1252,10/21/19,256,NULL,4,NULL,0.0156,0.7,NULL,2.79,NULL,0.1746,0,15.98,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1226,1226,10/21/19,938,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1227,1239,10/21/19,648,NULL,10,NULL,0.0154,1.36,NULL,13.63,NULL,0.4521,0,30.15,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1228,1238,10/21/19,3952,NULL,17,NULL,0.0043,2.03,NULL,34.43,NULL,1.2093,0,28.47,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1229,1235,10/21/19,180,NULL,2,NULL,0.0111,1.19,NULL,2.38,NULL,0.2508,0,9.49,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1230,1234,10/21/19,1659,NULL,1,NULL,0.0006,0.33,NULL,0.33,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1231,1250,10/21/19,1776,NULL,3,NULL,0.0017,1.69,NULL,5.07,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1232,1249,10/21/19,883,NULL,3,NULL,0.0034,0.89,NULL,2.67,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1233,1237,10/21/19,527,NULL,3,NULL,0.0057,1.05,NULL,3.14,NULL,0.1536,0,20.45,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1234,1230,10/21/19,12,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1235,1251,10/21/19,152,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1236,1238,10/22/19,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1237,1226,10/22/19,765,NULL,3,NULL,0.0039,0.94,NULL,2.81,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1238,1239,10/22/19,898,NULL,15,NULL,0.0167,1.12,NULL,16.74,NULL,0.1292,0,129.62,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1239,1251,10/22/19,98,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1240,1243,10/22/19,92,NULL,2,NULL,0.0217,0.72,NULL,1.44,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1241,1236,10/22/19,2831,NULL,3,NULL,0.0011,1.02,NULL,3.06,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1242,1233,10/22/19,1524,NULL,4,NULL,0.0026,1.44,NULL,5.74,NULL,0.3163,0,18.15,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1243,1250,10/22/19,2183,NULL,3,NULL,0.0014,0.33,NULL,0.98,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1244,1231,10/22/19,15477,NULL,31,NULL,0.002,1.3,NULL,40.31,NULL,0.5898,0,68.34,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1245,1248,10/22/19,8974,NULL,21,NULL,0.0023,1.62,NULL,33.96,NULL,0.5536,0,61.35,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1246,1249,10/22/19,928,NULL,3,NULL,0.0032,0.78,NULL,2.34,NULL,0.0829,0,28.24,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1247,1237,10/22/19,542,NULL,8,NULL,0.0148,0.9,NULL,7.18,NULL,0.0626,0,114.64,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1248,1241,10/22/19,1980,NULL,1,NULL,0.0005,1.68,NULL,1.68,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1249,1244,10/22/19,6339,NULL,16,NULL,0.0025,1.02,NULL,16.29,NULL,0.4922,0,33.1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1250,1240,10/22/19,25230,NULL,45,NULL,0.0018,1.16,NULL,52.31,NULL,0.4619,0,113.26,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1251,1252,10/22/19,204,NULL,1,NULL,0.0049,2.41,NULL,2.41,NULL,0.0563,0,42.83,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1252,1229,10/22/19,47,NULL,1,NULL,0.0213,3.33,NULL,3.33,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1253,1223,10/22/19,1046,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1254,1234,10/22/19,1356,NULL,2,NULL,0.0015,0.18,NULL,0.36,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1255,1244,10/23/19,3725,NULL,11,NULL,0.003,1.1,NULL,12.11,NULL,1.7153,0,7.06,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1256,1223,10/23/19,646,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1257,1245,10/23/19,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1258,1226,10/23/19,492,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1259,1238,10/23/19,4511,NULL,16,NULL,0.0036,1.87,NULL,29.89,NULL,0.2423,0,123.37,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1260,1239,10/23/19,854,NULL,20,NULL,0.0234,1.24,NULL,24.84,NULL,0.2266,0,109.63,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1261,1229,10/23/19,37,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1262,1230,10/23/19,149,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1263,1237,10/23/19,482,NULL,4,NULL,0.0083,0.75,NULL,3.01,NULL,0.0736,0,40.9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1264,1241,10/23/19,1591,NULL,2,NULL,0.0013,1.93,NULL,3.86,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1265,1231,10/23/19,7838,NULL,16,NULL,0.002,1.38,NULL,22,NULL,0.9835,0,22.37,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1266,1243,10/23/19,93,NULL,2,NULL,0.0215,0.38,NULL,0.75,NULL,0.0318,0,23.57,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1267,1251,10/23/19,45,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1268,1250,10/23/19,1113,NULL,1,NULL,0.0009,3.21,NULL,3.21,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1269,1234,10/23/19,783,NULL,1,NULL,0.0013,1.55,NULL,1.55,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1270,1235,10/23/19,222,NULL,7,NULL,0.0315,1.03,NULL,7.21,NULL,0.1085,0,66.43,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1271,1240,10/23/19,17886,NULL,36,NULL,0.002,1.15,NULL,41.26,NULL,0.1966,0,209.83,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1272,1252,10/23/19,103,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1273,1236,10/23/19,1648,NULL,3,NULL,0.0018,1.29,NULL,3.87,NULL,0.2422,0,15.98,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1274,1233,10/23/19,1402,NULL,1,NULL,0.0007,0.98,NULL,0.98,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1275,1248,10/23/19,4689,NULL,18,NULL,0.0038,1.75,NULL,31.44,NULL,0.7687,0,40.9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1276,1249,10/23/19,501,NULL,3,NULL,0.006,0.95,NULL,2.86,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1277,1234,10/24/19,375,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1278,1241,10/24/19,2153,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1279,1250,10/24/19,1004,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1280,1238,10/24/19,7401,NULL,32,NULL,0.0043,2.37,NULL,75.69,NULL,0.9185,0,82.41,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1281,1231,10/24/19,4048,NULL,1,NULL,0.0003,0.98,NULL,0.98,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1282,1243,10/24/19,86,NULL,5,NULL,0.0581,0.88,NULL,4.39,NULL,0.0387,0,113.52,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1283,1252,10/24/19,249,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1284,1240,10/24/19,8977,NULL,13,NULL,0.0015,0.98,NULL,12.8,NULL,0.313,0,40.9,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1285,1249,10/24/19,309,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1286,1244,10/24/19,3146,NULL,9,NULL,0.0029,1.25,NULL,11.29,NULL,1.5992,0,7.06,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1287,1226,10/24/19,352,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1288,1223,10/24/19,381,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1289,1237,10/24/19,503,NULL,4,NULL,0.008,0.99,NULL,3.94,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1290,1236,10/24/19,1156,NULL,3,NULL,0.0026,1.19,NULL,3.56,NULL,0.3751,0,9.49,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1291,1230,10/24/19,221,NULL,1,NULL,0.0045,0.7,NULL,0.7,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1292,1248,10/24/19,4065,NULL,25,NULL,0.0062,1.55,NULL,38.65,NULL,0.3783,0,102.18,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1293,1233,10/24/19,921,NULL,3,NULL,0.0033,1.09,NULL,3.27,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1294,1229,10/24/19,27,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1295,1251,10/24/19,38,NULL,1,NULL,0.0263,1.47,NULL,1.47,NULL,0.184,0,7.99,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1296,1239,10/24/19,639,NULL,13,NULL,0.0203,1.34,NULL,17.43,NULL,0.3028,0,57.56,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1297,1235,10/24/19,355,NULL,5,NULL,0.0141,0.91,NULL,4.56,NULL,0.1087,0,41.95,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1298,1241,10/25/19,2084,NULL,3,NULL,0.0014,2.05,NULL,6.15,NULL,0.7697,0,7.99,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1299,1237,10/25/19,432,NULL,4,NULL,0.0093,1.48,NULL,5.93,NULL,0.0901,0,65.81,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1300,1230,10/25/19,379,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1301,1251,10/25/19,37,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1302,1250,10/25/19,836,NULL,1,NULL,0.0012,2.02,NULL,2.02,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1303,1239,10/25/19,550,NULL,3,NULL,0.0055,1.25,NULL,3.76,NULL,0.0668,0,56.25,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1304,1248,10/25/19,3536,NULL,12,NULL,0.0034,1.8,NULL,21.62,NULL,1.0572,0,20.45,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1305,1226,10/25/19,236,NULL,1,NULL,0.0042,0.46,NULL,0.46,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1306,1238,10/25/19,7985,NULL,22,NULL,0.0028,1.99,NULL,43.69,NULL,0.6577,0,66.43,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1307,1235,10/25/19,325,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1308,1234,10/25/19,405,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1309,1229,10/25/19,113,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1310,1252,10/25/19,109,NULL,1,NULL,0.0092,0.8,NULL,0.8,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1311,1240,10/25/19,9366,NULL,16,NULL,0.0017,1.22,NULL,19.49,NULL,0.2112,0,92.27,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1312,1223,10/25/19,232,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1313,1236,10/25/19,2039,NULL,4,NULL,0.002,1.64,NULL,6.54,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1314,1233,10/25/19,841,NULL,1,NULL,0.0012,0.99,NULL,0.99,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1315,1249,10/25/19,329,NULL,1,NULL,0.003,0.42,NULL,0.42,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1316,1244,10/25/19,2976,NULL,6,NULL,0.002,1.33,NULL,7.98,NULL,1.1239,0,7.1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1317,1231,10/25/19,3611,NULL,4,NULL,0.0011,1.13,NULL,4.51,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1318,1243,10/25/19,105,NULL,1,NULL,0.0095,0.53,NULL,0.53,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1319,1235,10/26/19,121,NULL,1,NULL,0.0083,2.15,NULL,2.15,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1320,1248,10/26/19,3877,NULL,6,NULL,0.0016,2.02,NULL,12.09,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1321,1245,10/26/19,2072,NULL,8,NULL,0.0039,0.99,NULL,7.89,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1322,1246,10/26/19,21,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1323,1237,10/26/19,394,NULL,3,NULL,0.0076,1.27,NULL,3.82,NULL,0.196,0,19.49,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1324,1223,10/26/19,268,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1325,1236,10/26/19,3213,NULL,1,NULL,0.0003,1.41,NULL,1.41,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1326,1233,10/26/19,1232,NULL,3,NULL,0.0024,1.16,NULL,3.48,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1327,1230,10/26/19,80,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1328,1249,10/26/19,414,NULL,2,NULL,0.0048,0.85,NULL,1.69,NULL,0.238,0,7.1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1329,1232,10/26/19,36,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1330,1231,10/26/19,7302,NULL,15,NULL,0.0021,1.42,NULL,21.37,NULL,0.5575,0,38.33,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1331,1241,10/26/19,3439,NULL,4,NULL,0.0012,1.96,NULL,7.83,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1332,1243,10/26/19,65,NULL,3,NULL,0.0462,0.67,NULL,2.02,NULL,0.1143,0,17.67,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1333,1252,10/26/19,98,NULL,0,NULL,0,0,NULL,0,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1334,1239,10/26/19,568,NULL,11,NULL,0.0194,1.12,NULL,12.31,NULL,0.1222,0,100.73,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1335,1238,10/26/19,3693,NULL,13,NULL,0.0035,2.49,NULL,32.31,NULL,0.4256,0,75.92,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
