id,campaign,date,impressions,impressions_previous_year,clics,click_previous_year,CtR,CpC,CpC_previous_year,spend,spend_previous_year,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_persntage,NtB_units,NtB_units_percentage,NtB_order_rate
374,1,1/13/20,707,NULL,7,NULL,0.009901,0.47,NULL,3.31,NULL,0.042458,23.55,77.96,1,4,0.142857,7,0,0,0,0,0,0,0
375,1,1/14/20,204,NULL,9,NULL,0.044118,0.86,NULL,7.7,NULL,NULL,0,0,0,0,0,27,0,NULL,0,NULL,0,NULL,0
376,1,1/15/20,62,NULL,4,NULL,0.064516,0.88,NULL,3.51,NULL,0.440402,2.27,7.97,1,1,0.25,25,1,1,7.97,1,1,1,0.25
377,1,1/16/20,69,NULL,2,NULL,0.028986,0.76,NULL,1.51,NULL,0.104934,9.53,14.39,1,1,0.5,14,1,1,14.39,1,1,1,0.5
378,1,1/17/20,56,NULL,6,NULL,0.107143,0.92,NULL,5.53,NULL,0.057223,17.48,96.64,6,6,1,71,2,0.333333,30.96,0.320364,2,0.333333,0.333333
379,13,1/12/20,850,NULL,3,NULL,0.003529,0.4,NULL,1.19,NULL,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
380,13,1/13/20,988,NULL,6,NULL,0.006073,0.52,NULL,3.09,NULL,0.065549,15.26,47.14,1,2,0.166667,5,1,1,47.14,1,2,1,0.166667
381,13,1/14/20,1000,NULL,7,NULL,0.007,0.46,NULL,3.25,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
382,13,1/15/20,1016,NULL,10,NULL,0.009843,0.49,NULL,4.93,NULL,NULL,0,0,0,0,0,18,0,NULL,0,NULL,0,NULL,0
383,13,1/16/20,825,NULL,10,NULL,0.012121,0.59,NULL,5.85,NULL,0.119681,8.36,48.88,2,2,0.2,7,2,1,48.88,1,2,1,0.2
384,13,1/17/20,950,NULL,7,NULL,0.007368,0.58,NULL,4.06,NULL,0.176445,5.67,23.01,1,1,0.142857,10,1,1,23.01,1,1,1,0.142857
385,13,1/18/20,1193,NULL,4,NULL,0.003353,0.49,NULL,1.95,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
386,14,1/13/20,765,NULL,2,NULL,0.002614,1,NULL,2,NULL,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
387,14,1/14/20,804,NULL,1,NULL,0.001244,1,NULL,1,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
388,14,1/15/20,847,NULL,1,NULL,0.001181,1.16,NULL,1.16,NULL,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
389,14,1/16/20,1568,NULL,1,NULL,0.000638,1.3,NULL,1.3,NULL,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
390,14,1/18/20,629,NULL,1,NULL,0.00159,0.81,NULL,0.81,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
391,21,1/12/20,111,NULL,6,NULL,0.054054,0.98,NULL,5.86,NULL,0.114947,8.7,50.98,5,8,0.833333,19,2,0.4,22.1,0.433503,4,0.5,0.333333
392,21,1/13/20,82,NULL,3,NULL,0.036585,0.82,NULL,2.45,NULL,0.030818,32.45,79.5,3,3,1,6,1,0.333333,22.48,0.282767,1,0.333333,0.333333
393,21,1/14/20,103,NULL,2,NULL,0.019417,0.6,NULL,1.2,NULL,0.030992,32.27,38.72,2,2,1,2,2,1,38.72,1,2,1,1
394,21,1/15/20,24,NULL,1,NULL,0.041667,0.45,NULL,0.45,NULL,0.023089,43.31,19.49,1,1,1,2,1,1,19.49,1,1,1,1
395,21,1/16/20,25,NULL,1,NULL,0.04,1,NULL,1,NULL,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
396,28,1/12/20,76,NULL,2,NULL,0.026316,1.21,NULL,2.42,NULL,NULL,0,0,0,0,0,17,0,NULL,0,NULL,0,NULL,0
397,28,1/13/20,87,NULL,2,NULL,0.022989,1.65,NULL,3.29,NULL,0.058333,17.14,56.4,2,3,1,15,1,0.5,18.98,0.336525,2,0.666667,0.5
398,28,1/14/20,320,NULL,4,NULL,0.0125,1.19,NULL,4.75,NULL,NULL,0,0,0,0,0,24,0,NULL,0,NULL,0,NULL,0
399,28,1/15/20,625,NULL,11,NULL,0.0176,0.8,NULL,8.8,NULL,0.187433,5.34,46.95,3,3,0.272727,17,1,0.333333,19.49,0.415122,1,0.333333,0.090909
400,28,1/16/20,403,NULL,4,NULL,0.009926,1.53,NULL,6.13,NULL,0.180933,5.53,33.88,2,2,0.5,8,0,0,0,0,0,0,0
401,28,1/17/20,367,NULL,4,NULL,0.010899,0.76,NULL,3.02,NULL,0.033267,30.06,90.78,3,6,0.75,8,3,1,90.78,1,6,1,0.75
402,1,1/19/20,110,NULL,3,NULL,0.027273,0.5,NULL,1.5,NULL,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
403,1,1/20/20,117,NULL,2,NULL,0.017094,0.99,NULL,1.98,NULL,0.045759,21.85,43.27,2,7,1,13,2,1,43.27,1,7,1,1
404,1,1/21/20,127,NULL,3,NULL,0.023622,0.88,NULL,2.65,NULL,0.028288,35.35,93.68,3,7,1,102,3,1,93.68,1,7,1,1
405,1,1/22/20,94,NULL,1,NULL,0.010638,0.5,NULL,0.5,NULL,NULL,0,0,0,0,0,18,0,NULL,0,NULL,0,NULL,0
406,1,1/23/20,79,NULL,5,NULL,0.063291,0.62,NULL,3.1,NULL,0.159383,6.27,19.45,1,1,0.2,18,1,1,19.45,1,1,1,0.2
407,1,1/24/20,103,NULL,5,NULL,0.048544,1.14,NULL,5.72,NULL,0.294087,3.4,19.45,1,1,0.2,4,1,1,19.45,1,1,1,0.2
408,1,1/25/20,79,NULL,1,NULL,0.012658,0.83,NULL,0.83,NULL,NULL,0,0,0,0,0,6,0,NULL,0,NULL,0,NULL,0
409,13,1/19/20,1080,NULL,6,NULL,0.005556,0.55,NULL,3.29,NULL,NULL,0,0,0,0,0,5,0,NULL,0,NULL,0,NULL,0
