id,placement,date,impressions,clicks,CtR,CpC,spend,ACoS,RoAS,sales,orders,units,conversion_rate,page_views,NtB_orders,NtB_orders_percentage,NtB_sales,NtB_sales_percentage,NtB_units,NtB_units_persentage,NtB_order_rate
379,5733,11/20/19,51,2,0.039216,0.52,1.04,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
380,5733,11/21/19,14,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
381,5733,11/22/19,24,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
382,5733,11/23/19,45,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
383,6006,11/17/19,717,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
384,6006,11/18/19,629,1,0.00159,1.26,1.26,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
385,6006,11/19/19,559,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
386,6006,11/20/19,471,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
387,6006,11/21/19,467,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
388,6006,11/22/19,451,2,0.004435,1.26,2.52,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
389,6006,11/23/19,585,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
390,6012,11/17/19,14,1,0.071429,1.74,1.74,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
391,6012,11/19/19,9,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
392,6012,11/20/19,33,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
393,6012,11/21/19,23,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
394,6012,11/22/19,14,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
395,6012,11/23/19,10,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
396,5740,11/17/19,45,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
397,5740,11/18/19,72,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
398,5740,11/19/19,91,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
399,5740,11/20/19,58,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
400,5740,11/21/19,81,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
401,5740,11/22/19,65,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
402,5740,11/23/19,67,0,0,NULL,0,NULL,NULL,0,0,0,NULL,4,0,NULL,0,NULL,0,NULL,NULL
403,5747,11/17/19,1429,12,0.008397,0.53,6.39,0.164861,0.0607,38.76,2,2,0.166667,11,1,0.5,19.38,0.5,1,0.5,0.083333
404,5747,11/18/19,416,8,0.019231,0.47,3.77,NULL,0,0,0,0,0,19,0,NULL,0,NULL,0,NULL,0
405,5747,11/19/19,807,5,0.006196,0.74,3.69,0.099407,0.1006,37.12,3,3,0.6,10,1,0.333333,19.38,0.522091,1,0.333333,0.2
406,5747,11/20/19,369,5,0.01355,0.42,2.1,0.018735,0.5338,112.09,6,7,1.2,21,2,0.333333,39.64,0.353644,3,0.428571,0.4
407,5747,11/21/19,329,2,0.006079,1.11,2.21,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
408,5747,11/22/19,234,3,0.012821,1.44,4.32,NULL,0,0,0,0,0,4,0,NULL,0,NULL,0,NULL,0
409,5747,11/23/19,318,3,0.009434,0.84,2.51,0.064824,0.1543,38.72,2,2,0.666667,2,1,0.5,19.36,0.5,1,0.5,0.333333
410,5754,11/17/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
411,5754,11/18/19,2,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
412,5754,11/23/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
413,5759,11/17/19,9,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
414,5759,11/18/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
415,5759,11/19/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
416,5759,11/21/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
417,6114,11/24/19,133,1,0.007519,1.53,1.53,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
418,6114,11/25/19,112,3,0.026786,1.27,3.8,NULL,0,0,0,0,0,7,0,NULL,0,NULL,0,NULL,0
419,6114,11/26/19,126,4,0.031746,0.88,3.52,0.1375,0.0727,25.6,1,4,0.25,10,0,0,0,0,0,0,0
420,6114,11/27/19,81,6,0.074074,0.68,4.08,0.073171,0.1367,55.76,3,5,0.5,64,0,0,0,0,0,0,0
421,6114,11/28/19,39,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
422,6114,11/29/19,113,2,0.017699,0.55,1.09,0.014506,0.6894,75.14,3,8,1.5,30,1,0.333333,45.54,0.606069,6,0.75,0.5
423,6114,11/30/19,144,3,0.020833,1.16,3.47,0.107965,0.0926,32.14,2,3,0.666667,7,0,0,0,0,0,0,0
424,5705,11/24/19,1249,9,0.007206,0.52,4.64,0.219282,0.0456,21.16,1,1,0.111111,14,1,1,21.16,1,1,1,0.111111
425,5705,11/25/19,673,2,0.002972,0.55,1.09,0.047828,0.2091,22.79,1,1,0.5,1,1,1,22.79,1,1,1,0.5
426,5705,11/26/19,509,4,0.007859,0.49,1.95,NULL,0,0,0,0,0,6,0,NULL,0,NULL,0,NULL,0
427,5705,11/27/19,296,2,0.006757,0.53,1.06,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
428,5705,11/28/19,144,2,0.013889,0.48,0.95,NULL,0,0,0,0,0,2,0,NULL,0,NULL,0,NULL,0
429,5705,11/29/19,430,2,0.004651,0.42,0.84,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
430,5705,11/30/19,391,8,0.02046,0.43,3.45,NULL,0,0,0,0,0,5,0,NULL,0,NULL,0,NULL,0
431,5712,11/24/19,536,1,0.001866,0.83,0.83,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
432,5712,11/25/19,516,1,0.001938,0.5,0.5,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
433,5712,11/26/19,465,2,0.004301,0.88,1.75,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
434,5712,11/27/19,317,4,0.012618,0.78,3.12,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
435,5712,11/28/19,211,1,0.004739,0.92,0.92,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
436,5712,11/29/19,84,1,0.011905,1,1,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
437,5719,11/24/19,255,1,0.003922,0.12,0.12,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
438,5719,11/25/19,166,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
439,5719,11/26/19,185,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
440,5719,11/27/19,148,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
441,5719,11/28/19,155,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
442,5719,11/29/19,298,1,0.003356,0.12,0.12,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
443,5719,11/30/19,248,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
444,5726,11/24/19,254,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
445,5726,11/25/19,272,1,0.003676,0.53,0.53,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
446,5726,11/26/19,218,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
447,5726,11/27/19,143,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
448,5726,11/28/19,110,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
449,5726,11/29/19,58,1,0.017241,0.59,0.59,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
450,6147,11/24/19,48,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
451,6147,11/25/19,29,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
452,6147,11/26/19,40,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
453,6147,11/27/19,42,0,0,NULL,0,0,NULL,34.2,2,2,NULL,0,0,0,0,0,0,0,NULL
454,6147,11/28/19,16,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
455,6147,11/29/19,30,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
456,6147,11/30/19,38,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
457,6006,11/24/19,532,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
458,6006,11/25/19,520,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
459,6006,11/26/19,460,1,0.002174,1.32,1.32,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
460,6006,11/27/19,437,1,0.002288,1.32,1.32,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
461,6006,11/28/19,493,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
462,6006,11/29/19,710,1,0.001408,1.39,1.39,NULL,0,0,0,0,0,0,0,NULL,0,NULL,0,NULL,0
463,6006,11/30/19,590,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
464,6012,11/24/19,11,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
465,6012,11/25/19,9,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
466,6012,11/26/19,7,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
467,6012,11/28/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
468,6012,11/29/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
469,6012,11/30/19,3,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
470,6167,11/24/19,57,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
471,6167,11/25/19,72,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
472,6167,11/26/19,66,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
473,6167,11/27/19,56,0,0,NULL,0,NULL,NULL,0,0,0,NULL,2,0,NULL,0,NULL,0,NULL,NULL
474,6167,11/28/19,36,0,0,NULL,0,NULL,NULL,0,0,0,NULL,3,0,NULL,0,NULL,0,NULL,NULL
475,6167,11/29/19,57,1,0.017544,0.4,0.4,0.012694,0.7878,31.51,2,2,2,7,2,1,31.51,1,2,1,2
476,6167,11/30/19,66,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
477,6174,11/24/19,382,2,0.005236,0.5,1,NULL,0,0,0,0,0,3,0,NULL,0,NULL,0,NULL,0
478,6174,11/25/19,388,5,0.012887,1.14,5.71,0.076357,0.131,74.78,4,4,0.8,15,0,0,0,0,0,0,0
479,6174,11/26/19,392,6,0.015306,0.88,5.3,0.104516,0.0957,50.71,4,5,0.666667,10,1,0.25,23.92,0.471702,1,0.2,0.166667
480,6174,11/27/19,72,5,0.069444,2.13,10.66,0.248485,0.0402,42.9,4,7,0.8,15,2,0.5,28.95,0.674825,5,0.714286,0.4
481,6174,11/28/19,78,4,0.051282,0.43,1.7,0.507463,0.0197,3.35,1,1,0.25,9,1,1,3.35,1,1,1,0.25
482,6174,11/29/19,191,4,0.020942,0.94,3.74,0.058066,0.1722,64.41,3,6,0.75,7,2,0.666667,51.61,0.801273,4,0.666667,0.5
483,6174,11/30/19,143,2,0.013986,0.4,0.8,NULL,0,0,0,0,0,8,0,NULL,0,NULL,0,NULL,0
484,5754,11/25/19,1,1,1,0.43,0.43,NULL,0,0,0,0,0,1,0,NULL,0,NULL,0,NULL,0
485,5754,11/29/19,6,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
486,5754,11/30/19,5,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
487,5759,11/24/19,1,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
488,5759,11/25/19,7,0,0,NULL,0,NULL,NULL,0,0,0,NULL,0,0,NULL,0,NULL,0,NULL,NULL
